"package_version","license","used_in","publisher","repository"
"progress@2.0.3","MIT","backend;extension","TJ Holowaychuk","https://github.com/visionmedia/node-progress"
"prop-types@15.8.1","MIT","dashboard;extension","","https://github.com/facebook/prop-types"
"proxy-addr@2.0.7","MIT","backend","Douglas Christopher Wilson","https://github.com/jshttp/proxy-addr"
"proxy-agent@6.5.0","MIT","backend;extension","Nathan Rajlich","https://github.com/TooTallNate/proxy-agents"
"proxy-from-env@1.1.0","MIT","backend;dashboard;extension","Rob Wu","https://github.com/Rob--W/proxy-from-env"
"pump@3.0.2","MIT","backend;extension","Mathias Buus Madsen","https://github.com/mafintosh/pump"
"punycode@2.3.1","MIT","backend","Mathias Bynens","https://github.com/mathiasbynens/punycode.js"
"puppeteer-core@24.3.0","Apache-2.0","backend","The Chromium Authors","https://github.com/puppeteer/puppeteer/tree/main/packages/puppeteer-core"
"puppeteer-core@24.5.0","Apache-2.0","extension","The Chromium Authors","https://github.com/puppeteer/puppeteer/tree/main/packages/puppeteer-core"
"puppeteer@24.3.0","Apache-2.0","backend","The Chromium Authors","https://github.com/puppeteer/puppeteer/tree/main/packages/puppeteer"
"puppeteer@24.5.0","Apache-2.0","extension","The Chromium Authors","https://github.com/puppeteer/puppeteer/tree/main/packages/puppeteer"
"qs@6.13.0","BSD-3-Clause","backend","","https://github.com/ljharb/qs"
"qtip2@3.0.3","MIT","dashboard","Craig Michael Thompson","https://github.com/qTip2/qTip2"
"range-parser@1.2.1","MIT","backend","TJ Holowaychuk","https://github.com/jshttp/range-parser"
"raw-body@2.5.2","MIT","backend","Jonathan Ong","https://github.com/stream-utils/raw-body"
"rc@1.2.8","(BSD-2-Clause OR MIT OR Apache-2.0)","extension","Dominic Tarr","https://github.com/dominictarr/rc"
"react-async-script@1.2.0","MIT","dashboard","Hugo Dozois","https://github.com/dozoisch/react-async-script"
"react-circular-progressbar@2.2.0","MIT","dashboard;extension","Kevin Qi","https://github.com/kevinsqi/react-circular-progressbar"
"react-clientside-effect@1.2.7","MIT","dashboard;extension","Dan Abramov","https://github.com/thekashey/react-clientside-effect"
"react-d3-speedometer@3.1.1","MIT","extension","palerdot","https://github.com/palerdot/react-d3-speedometer"
"react-dom@18.3.1","MIT","dashboard;extension","","https://github.com/facebook/react"
"react-draggable@4.5.0","MIT","dashboard","Matt Zabriskie","https://github.com/react-grid-layout/react-draggable"
"react-fast-compare@3.2.2","MIT","dashboard;extension","Chris Bolin","https://github.com/FormidableLabs/react-fast-compare"
"react-floater@0.7.9","MIT","dashboard","Gil Barbara","https://github.com/gilbarbara/react-floater"
"react-focus-lock@2.13.6","MIT","dashboard;extension","theKashey","https://github.com/theKashey/react-focus-lock"
"react-force-graph-2d@1.29.1","MIT","dashboard","Vasco Asturiano","https://github.com/vasturiano/react-force-graph"
"react-google-recaptcha@3.1.0","MIT","dashboard","Hugo Dozois","https://github.com/dozoisch/react-google-recaptcha"
"react-icons@5.3.0","MIT","dashboard","Goran Gajic","https://github.com/react-icons/react-icons"
"react-icons@5.5.0","MIT","extension","Goran Gajic","https://github.com/react-icons/react-icons"
"react-innertext@1.1.5","MIT","dashboard","Charles Stover","https://github.com/CharlesStover/react-innertext"
